Sample1	Sample2	Distance	Mismatches
Beijing-391	SEA09020048P6C4	13391.00	0.01947
Beijing-391	SEA11020038P6C4	13594.00	0.02708
Beijing-391	SEA11020057P6C4	13471.00	0.02291
Beijing-391	SEA11020068P6C4	13654.00	0.02973
Beijing-391	SEA11020092P6C4	13538.00	0.02601
Beijing-391	SEA11278P6C4	14396.00	0.03115
Beijing-391	SEA12126P6C4	14442.00	0.03180
Beijing-391	SEA12202P6C4	14570.00	0.03538
Beijing-391	SEA12334P6C4	14536.00	0.03609
Beijing-391	SEA13020298	12128.00	0.00751
Beijing-391	SEA13111P6C4	14385.00	0.03027
Beijing-391	SEA14117P6C4	12941.00	0.01621
Beijing-391	SEA14318P6C4	14479.00	0.02905
Beijing-391	SEA14333P6C4	14426.00	0.03265
Beijing-391	SEA15228P6C4	14435.00	0.03137
Beijing-391	SEA15229P6C4	14587.00	0.03314
Beijing-391	SEA15230P6C4	14545.00	0.03311
Beijing-391	SEA17020023P6C4	14484.00	0.03407
Beijing-391	SEA17020024P6C4	14482.00	0.03403
Beijing-391	SEA17020028	12152.00	0.00555
Beijing-391	SEA17020030P6C4	13586.00	0.02402
Beijing-391	SGF0232017	12173.00	0.00602
Beijing-391	SGF0422017	12134.00	0.00902
Beijing-391	SGF0472017	12151.00	0.00587
Beijing-391	SGF0702019	12349.00	0.00734
Beijing-391	strain-01-R1134	13556.00	0.02262
Beijing-391	strain-01-R1430	13513.00	0.02217
Beijing-391	strain-02-R0894	13696.00	0.02739
Beijing-391	strain-02-R1179	13554.00	0.02369
Beijing-391	strain-02-R1708	13701.00	0.02660
Beijing-391	strain-02-R1896	13493.00	0.02282
Beijing-391	strain-1-0150P6C4	12354.00	0.00773
Beijing-391	strain-1-0165P6C4	13543.00	0.02303
Beijing-391	strain-1-0170P6C4	12138.00	0.00649
Beijing-391	strain-15	13816.00	0.02501
Beijing-391	strain-17221	13460.00	0.02272
Beijing-391	strain-1	12468.00	0.01066
Beijing-391	strain-2-0011P6C4	12139.00	0.00532
Beijing-391	strain-2-0026P6C4	13696.00	0.02419
Beijing-391	strain-2-0111P6C4	13702.00	0.02473
Beijing-391	strain-25421	12324.00	0.01411
Beijing-391	strain-3320	12329.00	0.01417
Beijing-391	strain-3	12148.00	0.00681
Beijing-391	strain-4-0083P6C4	13585.00	0.02352
Beijing-391	strain-5521	12351.00	0.01438
Beijing-391	strain-6721	12277.00	0.01258
Beijing-391	strain-6	13801.00	0.02485
Beijing-391	strain-8	12150.00	0.00586
Beijing-391	strain-9	12127.00	0.00540
Beijing-391	strain-A16	14691.00	0.04740
Beijing-391	strain-AST-T2	13652.00	0.02392
Beijing-391	strain-AST-T3	13512.00	0.02211
Beijing-391	strain-AST-T4	13691.00	0.02582
Beijing-391	strain-AST-T5	12383.00	0.00957
Beijing-391	strain-AST-T6	13688.00	0.02492
Beijing-391	strain-AST-T7	13611.00	0.02657
Beijing-391	strain-BLR-4299-2019	13404.00	0.02116
Beijing-391	strain-CA01	12537.00	0.01545
Beijing-391	strain-CA02	12516.00	0.01550
Beijing-391	strain-CA03	12580.00	0.01534
Beijing-391	strain-CB01	12276.00	0.01285
Beijing-391	strain-CB02	12293.00	0.01281
Beijing-391	strain-CB03	12322.00	0.01272
Beijing-391	strain-CDC1551	13729.00	0.02685
Beijing-391	strain-H-19-0007	14579.00	0.03246
Beijing-391	strain-H-19-0008	14564.00	0.03182
Beijing-391	strain-H-19-0027	14582.00	0.03258
Beijing-391	strain-H-20-0022	14597.00	0.03453
Beijing-391	strain-H-20-0024	14568.00	0.03271
Beijing-391	strain-H-21-0019	14595.00	0.03505
Beijing-391	strain-I0003165-3	13586.00	0.02616
Beijing-391	strain-I0003270-1	13765.00	0.02487
Beijing-391	strain-I0003758-5	13643.00	0.02474
Beijing-391	strain-I0004240-3	13668.00	0.02932
Beijing-391	strain-I0004290-8	13596.00	0.02366
Beijing-391	strain-L	13494.00	0.02559
Beijing-391	strain-LP-0106963-RM1	13751.00	0.02552
Beijing-391	strain-LP-0106963-RM2	13753.00	0.02552
Beijing-391	strain-LP-0106963-RM3	13754.00	0.02553
Beijing-391	strain-LP-0106967-RM5	13754.00	0.02552
Beijing-391	strain-LP-0107828-RM1	13757.00	0.02554
Beijing-391	strain-LP-0107828-RM5	13750.00	0.02551
Beijing-391	strain-LP-0107828-RM6	13756.00	0.02553
Beijing-391	strain-LP-0257184-RM3	13752.00	0.02552
Beijing-391	strain-LP-0257184-RM4	13753.00	0.02552
Beijing-391	strain-LP-0257184-RM5	13762.00	0.02556
Beijing-391	strain-LP-0257184-RM6	13758.00	0.02555
Beijing-391	strain-LP-0261867-RM1	13755.00	0.02554
Beijing-391	strain-LP-0261867-RM5	13750.00	0.02552
Beijing-391	strain-LP-0261867-RM7	13753.00	0.02552
Beijing-391	strain-LP-0333226-RM2	13746.00	0.02549
Beijing-391	strain-LP-0333226-RM3	13754.00	0.02550
Beijing-391	strain-LP-0474076-RM1	13746.00	0.02547
Beijing-391	strain-LP-0474076-RM2	13746.00	0.02548
Beijing-391	strain-LP-0474076-RM3	13745.00	0.02547
Beijing-391	strain-LP-0497747-RM1	13740.00	0.02546
Beijing-391	strain-LP-0504061-RM2	13740.00	0.02545
Beijing-391	strain-LP-0504069-RM2	13738.00	0.02546
Beijing-391	strain-M0003941-3	12172.00	0.00539
Beijing-391	strain-M64	12537.00	0.01965
Beijing-391	strain-MasanXDR-01	12841.00	0.01713
Beijing-391	strain-MasanXDR-02	13375.00	0.02766
Beijing-391	strain-MasanXDR-03	13039.00	0.02532
Beijing-391	strain-MasanXDR-04	13258.00	0.03004
Beijing-391	strain-MasanXDR-05	12932.00	0.02034
Beijing-391	strain-mc26030	13704.00	0.02786
Beijing-391	strain-MTBCR170001	14565.00	0.03360
Beijing-391	strain-MTBCR170020	14556.00	0.03200
Beijing-391	strain-MTBCR170027	14579.00	0.03160
Beijing-391	strain-MTBCR170031	14449.00	0.03161
Beijing-391	strain-MTBCR170913	14515.00	0.03330
Beijing-391	strain-MTBCR170941	13144.00	0.01986
Beijing-391	strain-MTb-Oman-3211198	14556.00	0.04336
Beijing-391	strain-MTb-Oman-3211379	13203.00	0.05033
Beijing-391	strain-MTb-Oman-3211380	13200.00	0.04793
Beijing-391	strain-MTb-Oman-3211392	14284.00	0.06413
Beijing-391	strain-MTb-Oman-3211453	14614.00	0.04028
Beijing-391	strain-MTb-Oman-3211517	14529.00	0.04947
Beijing-391	strain-MTb-Oman-3211622	14472.00	0.04030
Beijing-391	strain-MTb-Oman-3211956	14480.00	0.04601
Beijing-391	strain-MTb-Oman-3212387	13688.00	0.04613
Beijing-391	strain-MTb-Oman-3212401	13732.00	0.02844
Beijing-391	strain-MTb-Oman-3212598	14405.00	0.04272
Beijing-391	strain-MTb-Oman-321262	13277.00	0.04965
Beijing-391	strain-MTb-Oman-3212705	13671.00	0.05392
Beijing-391	strain-MTb-Oman-3212927	12141.00	0.03799
Beijing-391	strain-MTb-Oman-3213034	11375.00	0.07348
Beijing-391	strain-Mtb-Oman-3213118	14335.00	0.04154
Beijing-391	strain-MTb-Oman-3213123	12250.00	0.08050
Beijing-391	strain-MTb-Oman-3213167	12932.00	0.04803
Beijing-391	strain-MTb-Oman-3213169	12587.00	0.04569
Beijing-391	strain-MTb-Oman-3213195	12483.00	0.04535
Beijing-391	strain-MTb-Oman-3213249	13514.00	0.04425
Beijing-391	strain-MTb-Oman-3213318	13947.00	0.04263
Beijing-391	strain-MTb-Oman-3213329	14684.00	0.03654
Beijing-391	strain-MTb-Oman-3213336	13346.00	0.03045
Beijing-391	strain-MTb-Oman-3213343	14286.00	0.04059
Beijing-391	strain-MTb-Oman-3213427	13712.00	0.04577
Beijing-391	strain-MTb-Oman-3213465	13196.00	0.02618
Beijing-391	strain-MTb-Oman-3213509	13791.00	0.04663
Beijing-391	strain-MTb-Oman-3213540	12700.00	0.04580
Beijing-391	strain-MTb-Oman-3213545	13483.00	0.05664
Beijing-391	strain-MTb-Oman-3213573	12361.00	0.04107
Beijing-391	strain-MTb-Oman-3213645	13905.00	0.05515
Beijing-391	strain-MTb-Oman-3213670	13352.00	0.03546
Beijing-391	strain-MTb-Oman-3213828	14088.00	0.05036
Beijing-391	strain-MTb-Oman-3213831	12529.00	0.03507
Beijing-391	strain-MTb-Oman-3213964	12341.00	0.03507
Beijing-391	strain-MTb-Oman-321403	13212.00	0.03887
Beijing-391	strain-MTb-Oman-3214042	12789.00	0.08456
Beijing-391	strain-MTb-Oman-3214121	13158.00	0.03405
Beijing-391	strain-MTb-Oman-3214168	12399.00	0.03350
Beijing-391	strain-MTb-Oman-3214236	13387.00	0.04303
Beijing-391	strain-MTb-Oman-3214387	14144.00	0.05026
Beijing-391	strain-MTb-Oman-3214404	13489.00	0.04559
Beijing-391	strain-MTb-Oman-3214504	11715.00	0.01560
Beijing-391	strain-MTb-Oman-3214585	13393.00	0.04350
Beijing-391	strain-MTb-Oman-3214594	12606.00	0.03809
Beijing-391	strain-MTb-Oman-3214642	13658.00	0.04239
Beijing-391	strain-MTb-Oman-3214721	13112.00	0.03404
Beijing-391	strain-MTb-Oman-3214744	12841.00	0.03200
Beijing-391	strain-MTb-Oman-3214760	13608.00	0.03728
Beijing-391	strain-MTb-Oman-3214805	13895.00	0.04558
Beijing-391	strain-MTb-Oman-3214883	12920.00	0.04216
Beijing-391	strain-MTb-Oman-3214927	12990.00	0.03545
Beijing-391	strain-MTb-Oman-321528	13463.00	0.05065
Beijing-391	strain-MTb-Oman-3215324	13485.00	0.04437
Beijing-391	strain-MTb-Oman-3215574	13316.00	0.05159
Beijing-391	strain-MTb-Oman-3215691	12808.00	0.03507
Beijing-391	strain-MTb-Oman-3215873	14340.00	0.06199
Beijing-391	strain-MTb-Oman-3216177	13390.00	0.04385
Beijing-391	strain-MTb-Oman-3216462	12646.00	0.05922
Beijing-391	strain-MTb-Oman-3216574	13288.00	0.04395
Beijing-391	strain-MTB-Oman-321769	14351.00	0.04028
Beijing-391	strain-MTb-Oman-321856	12981.00	0.06978
Beijing-391	strain-MTb-Oman-321857	13714.00	0.04188
Beijing-391	strain-MTb-Oman-32193	12898.00	0.02927
Beijing-391	strain-N1015	13513.00	0.02328
Beijing-391	strain-P001-N1377	13444.00	0.02143
Beijing-391	strain-P003-N1374	13445.00	0.02145
Beijing-391	strain-P006-N1591	13441.00	0.02140
Beijing-391	strain-P007-N1108	13446.00	0.02145
Beijing-391	strain-P008-N1380	13444.00	0.02143
Beijing-391	strain-P010-N1385	13443.00	0.02142
Beijing-391	strain-P020-N1386	13443.00	0.02142
Beijing-391	strain-P022-N1431	13444.00	0.02142
Beijing-391	strain-P028-N1362	13446.00	0.02144
Beijing-391	strain-P034-N1426	13441.00	0.02140
Beijing-391	strain-P042-N1430	13446.00	0.02144
Beijing-391	strain-P052-N1429	13444.00	0.02143
Beijing-391	strain-P059-N1392	13442.00	0.02143
Beijing-391	strain-P066-N1411	13444.00	0.02143
Beijing-391	strain-P073-N1394	13444.00	0.02143
Beijing-391	strain-P074-N1402	13444.00	0.02143
Beijing-391	strain-PSNK363	13592.00	0.02262
Beijing-391	strain-SEA10470P6C4	13584.00	0.02377
Beijing-391	strain-SEA17020027P6C4	13594.00	0.02551
Beijing-391	TB282	12106.00	0.00649
Beijing-391	TCDC11	12144.00	0.00602
Beijing-391	variant-bovis-BCG-strain-Moreau-PL	14662.00	0.05260
Beijing-391	variant-bovis-strain-2023-0113	14849.00	0.04934
Beijing-391	variant-bovis-strain-3488	14801.00	0.05268
Beijing-391	variant-bovis-strain-Mb0486	14699.00	0.04862
Beijing-391	variant-bovis-strain-Mb0531	14724.00	0.04775
Beijing-391	variant-bovis-strain-Mb0820	14706.00	0.04711
Beijing-391	variant-bovis-strain-Mb1101	14773.00	0.04835
Beijing-391	variant-bovis-strain-Mb1855	14847.00	0.05023
Beijing-391	variant-bovis-strain-Mb2269	14808.00	0.04990
Beijing-391	variant-bovis-strain-Mb2377	14714.00	0.04680
Beijing-391	variant-bovis-strain-Mb2487	14789.00	0.04985
Beijing-391	variant-bovis-strain-Mb3114	14846.00	0.04899
Beijing-391	variant-bovis-strain-Mb3602	14713.00	0.04750
Beijing-391	variant-bovis-strain-OLF-AH-2022-TB-0122	14801.00	0.04824
Beijing-391	variant-caprae-strain-SY-1	14863.00	0.05188
Beijing-391	W-148	12137.00	0.00558
Beijing-391	WBB1007-LQ1975	14620.00	0.03419
Beijing-391	WBB1008-SL1975	14620.00	0.03421
Beijing-391	WBB1009-SL1875	14631.00	0.03605
Beijing-391	WBB1451-04-00887-2	14585.00	0.04032
Beijing-391	WBB1452-10-01964-2	13701.00	0.02835
Beijing-391	WBB1453-11-00429-1	14576.00	0.03212
Beijing-391	WBB1454-IB091-1	14558.00	0.04090
Beijing-391	WBB1456-11-00225-4	12346.00	0.00991
Beijing-391	WBB1457-IB-036-1	14702.00	0.04080
Beijing-391	WBB1458-05-01296-1	14643.00	0.04430
Beijing-391	WBB1459-E14-22547-1	14627.00	0.03947
Beijing-391	WBB1460-E13-13014-2	14657.00	0.03915
Beijing-391	WBB445-ARS7496	12335.00	0.00832
Beijing-391	WBB446-ARS7884	13268.00	0.02687
Beijing-391	WBB447-G67	14591.00	0.04079
Beijing-391	WBB448-HPV115-08	13221.00	0.02664
Beijing-391	WC059	12144.00	0.00676
Beijing-391	WC078	12142.00	0.00662
Beijing-391	WMB588	13370.00	0.02451
Beijing-391	WMB596	14535.00	0.03243
Beijing-391	WMB600	13487.00	0.02650
Beijing-391	WMB602	13709.00	0.02707
Beijing-391	WMB607	14634.00	0.03718
Beijing-391	WMB613	13532.00	0.02496
Beijing-391	WMB614	14633.00	0.03400
Beijing-391	WMB615	14634.00	0.03644
Beijing-391	WMB621	13545.00	0.02583
Beijing-391	ZRB10578980-LR-Asm	12137.00	0.00636
Beijing-like-35049	Beijing-like-36918	11813.00	0.00099
Beijing-like-35049	Beijing-like-38774	11825.00	0.00070
Beijing-like-35049	Beijing-like-50148	11818.00	0.00065
Beijing-like-35049	BLR-31d	12100.00	0.00313
Beijing-like-35049	CHIN-F1	13777.00	0.02477
Beijing-like-35049	CP010329-H37Rv	13821.00	0.02652
Beijing-like-35049	CP010333	14521.00	0.04243
Beijing-like-35049	CP010337	13572.00	0.02427
Beijing-like-35049	Danish-1331	14643.00	0.04865
Beijing-like-35049	delta-sapM	14645.00	0.04888
Beijing-like-35049	DN049-DNA	14392.00	0.03056
Beijing-like-35049	DN059-DNA	14371.00	0.03075
Beijing-like-35049	DN067-DNA	12309.00	0.00604
Beijing-like-35049	DN068-DNA	14370.00	0.03210
Beijing-like-35049	DN101-DNA	14384.00	0.03084
Beijing-like-35049	DN105-DNA	14364.00	0.03000
Beijing-like-35049	DN146-DNA	12069.00	0.00529
Beijing-like-35049	DN181-DNA	12156.00	0.00369
Beijing-like-35049	DN251-DNA	12356.00	0.00539
Beijing-like-35049	DNA019-Rose-LR-Asm	13657.00	0.02199
Beijing-like-35049	DNA019-Vash-LR-Asm	12089.00	0.00335
Beijing-like-35049	DNA020-LR-Asm	13441.00	0.01833
Beijing-like-35049	DNA028-LR-Asm	12113.00	0.00359
Beijing-like-35049	DNA044-LR-Asm	13707.00	0.02228
Beijing-like-35049	DNA054-LR-Asm	13488.00	0.02048
Beijing-like-35049	DNA075-LR-Asm	12106.00	0.00424
Beijing-like-35049	DNA086-LR-Asm	13386.00	0.01974
Beijing-like-35049	DNA089-LR-Asm	12097.00	0.00309
Beijing-like-35049	DNA091-LR-Asm	12092.00	0.00368
Beijing-like-35049	DNA096-LR-Asm	12097.00	0.00310
Beijing-like-35049	DNA114-LR-Asm	12088.00	0.00301
Beijing-like-35049	DNA120-LR-Asm	13574.00	0.02278
Beijing-like-35049	DNA124-LR-Asm	13456.00	0.02005
Beijing-like-35049	DNA182-LR-Asm	13518.00	0.02097
Beijing-like-35049	DNA188-LR-Asm	13646.00	0.02573
Beijing-like-35049	Erdman-ATCC-35801	13646.00	0.02520
Beijing-like-35049	FDAARGOS-750	13442.00	0.01704
Beijing-like-35049	FDAARGOS-751	14510.00	0.02974
Beijing-like-35049	FDAARGOS-756	12081.00	0.00387
Beijing-like-35049	FDAARGOS-757	13716.00	0.02321
Beijing-like-35049	GCF1-0084P6C4	12118.00	0.00297
Beijing-like-35049	GCF4-0096P6C4	12570.00	0.00782
Beijing-like-35049	H107	13574.00	0.02112
Beijing-like-35049	H112	12298.00	0.00629
Beijing-like-35049	H37Ra	13760.00	0.02472
Beijing-like-35049	H37Rv-1	13715.00	0.02320
Beijing-like-35049	H54	12021.00	0.00248
Beijing-like-35049	H83	13623.00	0.02514
Beijing-like-35049	HN-024	14319.00	0.02918
Beijing-like-35049	HN-205	12118.00	0.00408
Beijing-like-35049	HN-321	12298.00	0.00483
Beijing-like-35049	HN-506	11979.00	0.00314
Beijing-like-35049	I0003447-5	13456.00	0.01892
Beijing-like-35049	ITM-1968-01344	14641.00	0.03090
Beijing-like-35049	ITM-1992-08557	14539.00	0.03197
Beijing-like-35049	ITM-1999-01508	13361.00	0.01695
Beijing-like-35049	ITM-2000-00448	13379.00	0.01720
Beijing-like-35049	ITM-2002-00926	13535.00	0.02460
Beijing-like-35049	ITM-2003-01539	13666.00	0.02378
Beijing-like-35049	ITM-2004-01893	13544.00	0.02474
Beijing-like-35049	ITM-2005-02460	13674.00	0.02401
Beijing-like-35049	ITM-2015-00021	14483.00	0.03632
Beijing-like-35049	ITM-2021-00504	14512.00	0.03424
Beijing-like-35049	ITM-2021-02250	14805.00	0.04733
Beijing-like-35049	Kurono	13575.00	0.02300
Beijing-like-35049	M0003941-3-LR-Asm	12116.00	0.00266
Beijing-like-35049	M0010874-7-LR-Asm	13566.00	0.02374
Beijing-like-35049	M0014888-3-LR-Asm	13632.00	0.02673
Beijing-like-35049	M0016395-7-LR-Asm	13577.00	0.02127
Beijing-like-35049	M0016737-0-LR-Asm	13735.00	0.02245
Beijing-like-35049	M0017522-5-LR-Asm	13631.00	0.02232
Beijing-like-35049	M20	13654.00	0.02650
Beijing-like-35049	mada-102-LR-Asm	13486.00	0.02257
Beijing-like-35049	mada-103-LR-Asm	13495.00	0.01920
Beijing-like-35049	mada-105-LR-Asm	13655.00	0.02512
Beijing-like-35049	mada-107-LR-Asm	14570.00	0.03215
Beijing-like-35049	mada-1-10-LR-Asm	14605.00	0.03120
Beijing-like-35049	mada-1-11-LR-Asm	12074.00	0.00320
Beijing-like-35049	mada-1-12-LR-Asm	13504.00	0.02320
Beijing-like-35049	mada-112-LR-Asm	13493.00	0.01922
Beijing-like-35049	mada-1-15-LR-Asm	13713.00	0.02462
Beijing-like-35049	mada-115-LR-Asm	12108.00	0.00359
Beijing-like-35049	mada-117-LR-Asm	14591.00	0.03379
Beijing-like-35049	mada-118-LR-Asm	14557.00	0.03064
Beijing-like-35049	mada-1-1-LR-Asm	14499.00	0.02986
Beijing-like-35049	mada-120-LR-Asm	13452.00	0.02429
Beijing-like-35049	mada-122-LR-Asm	14601.00	0.03127
Beijing-like-35049	mada-123-LR-Asm	13544.00	0.02289
Beijing-like-35049	mada-124-LR-Asm	13505.00	0.02041
Beijing-like-35049	mada-126-LR-Asm	13448.00	0.02408
Beijing-like-35049	mada-128-LR-Asm	13714.00	0.02637
Beijing-like-35049	mada-129-LR-Asm	13665.00	0.02460
Beijing-like-35049	mada-1-30-LR-Asm	13573.00	0.02072
Beijing-like-35049	mada-1-32-LR-Asm	13645.00	0.02403
Beijing-like-35049	mada-1-36-LR-Asm	14578.00	0.03143
Beijing-like-35049	mada-1-38-LR-Asm	13583.00	0.02207
Beijing-like-35049	mada-1-39-LR-Asm	14636.00	0.03225
Beijing-like-35049	mada-139-LR-Asm	13529.00	0.02209
Beijing-like-35049	mada-1-40-LR-Asm	14606.00	0.03177
Beijing-like-35049	mada-1-41-LR-Asm	13559.00	0.01959
Beijing-like-35049	mada-1-44-LR-Asm	14563.00	0.03110
Beijing-like-35049	mada-1-50-LR-Asm	13561.00	0.02312
Beijing-like-35049	mada-1-51-LR-Asm	14583.00	0.03090
Beijing-like-35049	mada-151-LR-Asm	13516.00	0.02379
Beijing-like-35049	mada-1-53-LR-Asm	13565.00	0.02312
Beijing-like-35049	mada-2-1-LR-Asm	13430.00	0.02199
Beijing-like-35049	mada-2-25-LR-Asm	13361.00	0.01790
Beijing-like-35049	mada-2-31-LR-Asm	13565.00	0.01958
Beijing-like-35049	mada-2-42-LR-Asm	12120.00	0.00313
Beijing-like-35049	mada-2-46-LR-Asm	14586.00	0.03296
Beijing-like-35049	mada-2-53-LR-Asm	13565.00	0.02312
Beijing-like-35049	Maus3	14384.00	0.03770
Beijing-like-35049	Maus4	14462.00	0.03758
Beijing-like-35049	Mb3601	14814.00	0.04692
Beijing-like-35049	MFS-173-LR-Asm	12089.00	0.00438
Beijing-like-35049	MFS-181-LR-Asm	13439.00	0.02026
Beijing-like-35049	MFS-42-LR-Asm	12118.00	0.00288
Beijing-like-35049	MFS-51-LR-Asm	12093.00	0.00326
Beijing-like-35049	MFS-54-LR-Asm	12081.00	0.00310
Beijing-like-35049	MFS-56-LR-Asm	13665.00	0.02367
Beijing-like-35049	MFS-58-LR-Asm	12072.00	0.00306
Beijing-like-35049	MFS-60-LR-Asm	13438.00	0.02026
Beijing-like-35049	MT-0080-LR-Asm	13628.00	0.02314
Beijing-like-35049	MTB1	13582.00	0.02085
Beijing-like-35049	MTB2	12571.00	0.00752
Beijing-like-35049	M-tuberculosis-H37Rv-2015	13772.00	0.02347
Beijing-like-35049	N0004-LR-Asm	13457.00	0.01796
Beijing-like-35049	N0054-LR-Asm	13442.00	0.01757
Beijing-like-35049	N0069	14432.00	0.02874
Beijing-like-35049	N0072	14536.00	0.03027
Beijing-like-35049	N0091-LR-Asm	14648.00	0.03718
Beijing-like-35049	N0145-LR-Asm	12081.00	0.00345
Beijing-like-35049	N0153-LR-Asm	14322.00	0.03284
Beijing-like-35049	N0155-LR-Asm	12097.00	0.00274
Beijing-like-35049	N0157	14523.00	0.03579
Beijing-like-35049	N1176-LR-Asm	14650.00	0.03249
Beijing-like-35049	N1177-LR-Asm	14636.00	0.03601
Beijing-like-35049	N1201	14642.00	0.03589
Beijing-like-35049	N1202-LR-Asm	14626.00	0.03581
Beijing-like-35049	N1268	14686.00	0.03220
Beijing-like-35049	N1272-LR-Asm	14429.00	0.02806
Beijing-like-35049	N1274-LR-Asm	13649.00	0.02063
Beijing-like-35049	N1283	13594.00	0.02052
Beijing-like-35049	N3913	14388.00	0.02857
Beijing-like-35049	NCGM946K2	13380.00	0.02570
Beijing-like-35049	Orygis	14683.00	0.04294
Beijing-like-35049	OV254	14421.00	0.03856
Beijing-like-35049	OW052189-1	12116.00	0.00299
Beijing-like-35049	OW052302-1	13573.00	0.02028
Beijing-like-35049	OW052570-1	14418.00	0.02864
Beijing-like-35049	OW052571-1	13436.00	0.02204
Beijing-like-35049	QC-10-LR-Asm	13555.00	0.02243
Beijing-like-35049	QC-1-LR-Asm	13550.00	0.02352
Beijing-like-35049	QC-3-LR-Asm	13481.00	0.01762
Beijing-like-35049	QC-4-LR-Asm	13548.00	0.02194
Beijing-like-35049	QC-5-LR-Asm	13479.00	0.01761
Beijing-like-35049	QC-6-LR-Asm	13574.00	0.02362
Beijing-like-35049	QC-7-LR-Asm	13592.00	0.02443
Beijing-like-35049	QC-8-LR-Asm	13535.00	0.02193
Beijing-like-35049	QC-9-LR-Asm	13486.00	0.01812
Beijing-like-35049	R15311-LR-Asm	13475.00	0.02018
Beijing-like-35049	R18040-LR-Asm	12567.00	0.00841
Beijing-like-35049	R18043-LR-Asm	12562.00	0.00842
Beijing-like-35049	R20574-LR-Asm	12566.00	0.00797
Beijing-like-35049	R21408-LR-Asm	12572.00	0.00801
Beijing-like-35049	R21770-LR-Asm	13689.00	0.02474
Beijing-like-35049	R21839-LR-Asm	13553.00	0.02269
Beijing-like-35049	R21893-LR-Asm	12576.00	0.00862
Beijing-like-35049	R22601-LR-Asm	12568.00	0.00846
Beijing-like-35049	R23146-LR-Asm	12567.00	0.00870
Beijing-like-35049	R23887-LR-Asm	14611.00	0.03287
Beijing-like-35049	R24100-LR-Asm	12093.00	0.00330
Beijing-like-35049	R25048-LR-Asm	12095.00	0.00415
Beijing-like-35049	R26778-LR-Asm	12566.00	0.00839
Beijing-like-35049	R26791-LR-Asm	12565.00	0.00795
Beijing-like-35049	R27252-LR-Asm	14578.00	0.03003
Beijing-like-35049	R27657-LR-Asm	12116.00	0.00286
Beijing-like-35049	R27725-LR-Asm	12563.00	0.00798
Beijing-like-35049	R27937-LR-Asm	12567.00	0.00842
Beijing-like-35049	R28012-LR-Asm	12117.00	0.00287
Beijing-like-35049	R28703-LR-Asm	12116.00	0.00292
Beijing-like-35049	R28980-LR-Asm	12571.00	0.00865
Beijing-like-35049	R29816-LR-Asm	12121.00	0.00293
Beijing-like-35049	R30078-LR-Asm	12117.00	0.00287
Beijing-like-35049	R30215-LR-Asm	12092.00	0.00277
Beijing-like-35049	R30234-LR-Asm	12121.00	0.00286
Beijing-like-35049	R30396-LR-Asm	13680.00	0.02434
Beijing-like-35049	R30420-LR-Asm	12572.00	0.00798
Beijing-like-35049	R31095-LR-Asm	12127.00	0.00287
Beijing-like-35049	R32929-LR-Asm	12576.00	0.00791
Beijing-like-35049	R36431-LR-Asm	12116.00	0.00277
Beijing-like-35049	R37765-LR-Asm	12102.00	0.00310
Beijing-like-35049	RW-TB008-LR-Asm	14370.00	0.03310
Beijing-like-35049	SEA02010036	12094.00	0.00299
Beijing-like-35049	SEA06535P6C4	13541.00	0.02231
Beijing-like-35049	SEA07010354P6C4	13595.00	0.01919
Beijing-like-35049	SEA07020250P6C4	13561.00	0.02099
Beijing-like-35049	SEA08151P6C4	14466.00	0.02681
Beijing-like-35049	SEA08162P6C4	13518.00	0.01887
Beijing-like-35049	SEA09020048P6C4	13358.00	0.01684
Beijing-like-35049	SEA11020038P6C4	13561.00	0.02446
Beijing-like-35049	SEA11020057P6C4	13445.00	0.02035
Beijing-like-35049	SEA11020068P6C4	13619.00	0.02711
Beijing-like-35049	SEA11020092P6C4	13516.00	0.02358
Beijing-like-35049	SEA11278P6C4	14376.00	0.02872
Beijing-like-35049	SEA12126P6C4	14416.00	0.02937
Beijing-like-35049	SEA12202P6C4	14533.00	0.03278
Beijing-like-35049	SEA12334P6C4	14498.00	0.03349
Beijing-like-35049	SEA13020298	12086.00	0.00498
Beijing-like-35049	SEA13111P6C4	14382.00	0.02795
Beijing-like-35049	SEA14117P6C4	12946.00	0.01402
Beijing-like-35049	SEA14318P6C4	14450.00	0.02659
Beijing-like-35049	SEA14333P6C4	14398.00	0.03021
Beijing-like-35049	SEA15228P6C4	14418.00	0.02903
Beijing-like-35049	SEA15229P6C4	14553.00	0.03055
Beijing-like-35049	SEA15230P6C4	14527.00	0.03072
Beijing-like-35049	SEA17020023P6C4	14463.00	0.03167
Beijing-like-35049	SEA17020024P6C4	14461.00	0.03163
Beijing-like-35049	SEA17020028	12106.00	0.00284
Beijing-like-35049	SEA17020030P6C4	13565.00	0.02158
Beijing-like-35049	SGF0232017	12131.00	0.00352
Beijing-like-35049	SGF0422017	12085.00	0.00630
Beijing-like-35049	SGF0472017	12111.00	0.00340
Beijing-like-35049	SGF0702019	12306.00	0.00484
Beijing-like-35049	strain-01-R1134	13514.00	0.02016
Beijing-like-35049	strain-01-R1430	13492.00	0.01982
Beijing-like-35049	strain-02-R0894	13653.00	0.02473
Beijing-like-35049	strain-02-R1179	13530.00	0.02127
Beijing-like-35049	strain-02-R1708	13660.00	0.02393
Beijing-like-35049	strain-02-R1896	13468.00	0.02029
Beijing-like-35049	strain-1-0150P6C4	12309.00	0.00519
